"Name","Kind","Refs","DefFiles","FirstFile","FirstLine","AnyPartial"
"UtilityBrain","class","3","MiniRPG.Shared\Core\AI\Utility\UtilityBrain.cs","MiniRPG.Shared\Core\AI\Utility\UtilityBrain.cs","8","False"
"WeatherAccumulationSimulator","class","3","MiniRPG.Shared\Core\Weather\WeatherSystem.cs","MiniRPG.Shared\Core\Weather\WeatherSystem.cs","388","False"
"WeatherConfig","class","3","MiniRPG.Shared\Core\Config\GameConfig.cs","MiniRPG.Shared\Core\Config\GameConfig.cs","171","False"
"WeatherFxVisualResolver","class","3","Module\Render\WeatherFxVisualResolver.cs","Module\Render\WeatherFxVisualResolver.cs","30","False"
"WSAData","struct","3","MiniRPG.Shared\Vendor\ENet\plugins\NativeSockets\Windows\c\WindowsSocketPal.cs","MiniRPG.Shared\Vendor\ENet\plugins\NativeSockets\Windows\c\WindowsSocketPal.cs","773","False"
"ActiveToast","class","4","Module\Panel\ToastOverlay.cs","Module\Panel\ToastOverlay.cs","174","False"
"AIDispatchMetrics","class","4","MiniRPG.Shared\Core\AI\AIProfiling.cs","MiniRPG.Shared\Core\AI\AIProfiling.cs","9","False"
"AltLabelOverlayController","class","4","App\RuntimeUi\AltLabelOverlayController.cs","App\RuntimeUi\AltLabelOverlayController.cs","10","False"
"ApplyGeneModificationClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","384","False"
"AudioSettingsModule","class","4","Module\Audio\AudioSettingsModule.cs","Module\Audio\AudioSettingsModule.cs","6","False"
"BillDef","class","4","MiniRPG.Shared\Core\Data\FacilityModels.cs","MiniRPG.Shared\Core\Data\FacilityModels.cs","320","False"
"BindingStore","class","4","Module\InputBindingService.cs","Module\InputBindingService.cs","504","False"
"BindingStoreRow","class","4","Module\InputBindingService.cs","Module\InputBindingService.cs","510","False"
"BuffSnapshot","class","4","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","976","False"
"CapacityDef","class","4","MiniRPG.Shared\Core\Data\CapacityDef.cs","MiniRPG.Shared\Core\Data\CapacityDef.cs","10","False"
"CastSkillClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","171","False"
"CellEntitySnapshot","class","4","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","1096","False"
"ChestCoordinator","class","4","App\RuntimeUi\ChestCoordinator.cs","App\RuntimeUi\ChestCoordinator.cs","6","False"
"ClimbClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","231","False"
"CloseModalClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","328","False"
"CombatFxPlayer","class","4","Module\Render\CombatFxPlayer.cs","Module\Render\CombatFxPlayer.cs","9","False"
"CombatFxVisualConfig","class","4","Module\Render\CombatFxRegistry.cs","Module\Render\CombatFxRegistry.cs","379","False"
"ConversationApproveTakeoverClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","412","False"
"ConversationDefLoader","class","4","MiniRPG.Shared\Core\Conversation\ConversationDefLoader.cs","MiniRPG.Shared\Core\Conversation\ConversationDefLoader.cs","9","False"
"ConversationEffectDef","class","4","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","112","False"
"ConversationNodeDef","class","4","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","137","False"
"ConversationRequestTakeoverClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","407","False"
"ConversationStateSnapshot","class","4","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","MiniRPG.Shared\Core\Conversation\ConversationModels.cs","30","False"
"DelegateActorClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","333","False"
"DigClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","157","False"
"EatInventoryClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","183","False"
"EndCombatClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","374","False"
"EndTurnClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","358","False"
"ENetProtocolFlag","enum","4","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","42","False"
"ENetProtocolPing","struct","4","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","131","False"
"ENetProtocolSendReliable","struct","4","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","136","False"
"ENetProtocolSendUnreliable","struct","4","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","142","False"
"ENetProtocolSendUnsequenced","struct","4","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","MiniRPG.Shared\Vendor\ENet\include\protocol.cs","149","False"
"ENetSymbols","struct","4","MiniRPG.Shared\Vendor\ENet\include\compress.cs","MiniRPG.Shared\Vendor\ENet\include\compress.cs","24","False"
"EquipmentColorUtil","class","4","App\RuntimeUi\EquipmentAppearanceCatalog.cs","App\RuntimeUi\EquipmentAppearanceCatalog.cs","52","False"
"EquipSlotSnapshot","class","4","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","931","False"
"EventBatchMessage","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","446","False"
"ExperienceSnapshot","class","4","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","MiniRPG.Shared\Core\Map\SaveSnapshot.cs","991","False"
"FacilityConstructClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","226","False"
"FacilityDeliverClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","221","False"
"FacilityDemolishClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","216","False"
"FacilityPlaceBlueprintClientCommand","record","4","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","MiniRPG.Shared\Core\Multiplayer\Protocol.cs","207","False"
